idx,disease,Symptom,Medical Tests,Medications
10,Pyloric stenosis,"['Vomiting', 'Sharp abdominal pain', 'Infant spitting up', 'Vomiting blood', 'Cough', 'Arm stiffness or tightness', 'Regurgitation', 'Burning abdominal pain', 'Restlessness', 'Pain during pregnancy', 'Symptoms of infants', 'Wheezing']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)']","['Nizatidine (Axid)', 'Simethicone (Degas)', 'Lactulose', 'Silver Sulfadiazine Topical', 'Niacin', 'Nystatin Topical Product', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
11,Salivary gland disorder,"['Sore throat', 'Peripheral edema', 'Neck mass', 'Ear pain', 'Swollen lymph nodes', 'Throat feels tight', 'Facial pain', 'Skin swelling', 'Jaw swelling', 'Cough', 'Mouth dryness', 'Neck swelling']","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Biopsy', 'Excision (Removal)', 'Diagnostic procedures on nose; mouth and pharynx', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Physical therapy exercises (Exercises)']","['Meloxicam', 'Pramipexole (Mirapex)', 'Dicyclomine', 'Saliva Substitutes', 'Mequinol-Tretinoin Topical', 'Bleomycin', 'Desflurane', 'Entacapone (Comtan)', 'Biotin', 'Rocuronium', 'Cefadroxil']"
12,Osteochondrosis,"['Knee pain', 'Foot or toe pain', 'Bowlegged or knock-kneed', 'Ankle pain', 'Bones are painful', 'Knee weakness', 'Hand or finger pain', 'Elbow pain', 'Knee swelling', 'Skin moles', 'Knee lump or mass', 'Weight gain']","['Plain x-ray (X ray)', 'Radiographic imaging procedure', 'Physical therapy exercises (Exercises)', 'Examination of foot', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Application of splint (Splinting)', 'Physical therapy exercises; manipulation; and other procedures']","['Acebutolol', 'Botulinum Toxin Type A (Botox)']"
13,Injury to the knee,"['Knee pain', 'Knee swelling', 'Leg pain', 'Problems with movement', 'Knee stiffness or tightness', 'Leg swelling', 'Knee weakness', 'Foot or toe swelling', 'Heartburn', 'Smoking problems']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Magnetic resonance imaging (Mri)', 'Application of splint (Splinting)', 'Physical therapy exercises (Exercises)', 'Other therapeutic procedures', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Chondroitin-Glucosamine', 'Cortisone', 'Piroxicam', 'Nabumetone', 'Pentazocine (Talwin)', 'Alendronate-Cholecalciferol', 'Moexipril', 'Desflurane']"
14,Metabolic disorder,"['Weight gain', 'Jaundice', 'Mouth dryness', 'Muscle pain', 'Smoking problems', 'Infant feeding problem', 'Recent weight loss', 'Problems with shape or size of breast', 'Arm stiffness or tightness', 'Underweight', 'Difficulty eating', 'Scanty menstrual flow']","['Hematologic tests (Blood test)', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Mammography (Mammogram)']","['Ursodiol (Urso)', 'Exenatide (Byetta)', 'Alglucosidase Alfa (Myozyme)', 'Levocarnitine', 'Fenofibric Acid (Trilipix)', 'Raltegravir (Isentress)', 'Potassium Citrate']"
15,Vaginitis,"['Vaginal discharge', 'Vaginal itching', 'Sharp abdominal pain', 'Painful urination', 'Vaginal pain', 'Lower abdominal pain', 'Pelvic pain', 'Vaginal redness', 'Suprapubic pain', 'Pain during pregnancy', 'Vulvar irritation', 'Pain during intercourse']","['Pelvis exam', 'Urinalysis', 'Standard pregnancy test', 'Chlamydia test', 'Examination of breast', 'Microscopic examination (bacterial smear; culture; toxicology)', 'Pap smear']","['Metronidazole', 'Fluconazole (Diflucan)', 'Metronidazole Topical Product', 'Terconazole Topical', 'Miconazole Topical Product', 'Betamethasone-Clotrimazole Topical', 'Clindamycin Topical Product', 'Tinidazole', 'Nystatin-Triamcinolone Topical', 'Cefixime (Suprax)', 'Pentosan Polysulphate Sodium (Elmiron)', 'Boric Acid Topical']"
16,Sick sinus syndrome,"['Dizziness', 'Sharp chest pain', 'Shortness of breath', 'Palpitations', 'Fainting', 'Weakness', 'Irregular heartbeat', 'Decreased heart rate', 'Increased heart rate', 'Bleeding or discharge from nipple']","['Electrocardiogram', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Ultrasonography (Ultrasound)', 'Echocardiography', 'Lipid panel', 'Diagnostic cardiac catheterization; coronary arteriography', 'Depression screen (Depression screening)']","['Warfarin', 'Digoxin', 'Sotalol', 'Amiodarone', 'Torsemide', 'Vitamin E (Vita-E)', 'Bumetanide', 'Flecainide', 'Ibandronate (Boniva)', 'Dofetilide (Tikosyn)', 'Dopamine', 'Isosorbide Mononitrate (Ismo)']"
17,Tinnitus of unknown cause,"['Ringing in ear', 'Diminished hearing', 'Dizziness', 'Ear pain', 'Headache', 'Plugged feeling in ear', 'Itchy ear(s)', 'Frontal headache', 'Symptoms of eye', 'Hoarse voice', 'Fluid in ear', 'Neck stiffness or tightness']","['Ophthalmologic and otologic diagnosis and treatment', 'Magnetic resonance imaging (Mri)', 'Other therapeutic ear procedures', 'Other physical therapy and rehabilitation', 'Diagnostic procedures on ear', 'Diagnostic procedures on nose; mouth and pharynx', 'Other OR therapeutic nervous system procedures']","['Azelastine Nasal', 'Salmeterol', 'Levocetirizine (Xyzal)', 'Ginkgo Biloba Extract (Ginkgo)', 'Iodoquinol', 'Benzalkonium Chloride Topical', 'Aluminum Sulfate-Calcium Acetate Topical', 'Magnesium Chloride', 'Dexamethasone Ophthalmic', 'Ciclesonide Nasal', 'Almotriptan (Axert)']"
18,Glaucoma,"['Diminished vision', 'Pain in eye', 'Symptoms of eye', 'Spots or clouds in vision', 'Eye redness', 'Lacrimation', 'Itchiness of eye', 'Blindness', 'Eye burns or stings', 'Foreign body sensation in eye', 'Itchy eyelid', 'Feeling cold']","['Ophthalmic examination and evaluation (Eye exam)', 'Ophthalmologic and otologic diagnosis and treatment', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Lens and cataract procedures', 'Diagnostic procedures on eye', 'Glaucoma procedures', 'Other intraocular therapeutic procedures']","['Latanoprost', 'Bimatoprost Ophthalmic', 'Brimonidine Ophthalmic', 'Timolol', 'Travoprost (Travatan)', 'Prednisolone Ophthalmic', 'Brimonidine-Timolol Ophthalmic', 'Dorzolamide Ophthalmic', 'Brinzolamide Ophthalmic', 'Tropicamide Ophthalmic', 'Apraclonidine Ophthalmic', 'Acetazolamide (Diamox)']"
19,Eating disorder,"['Depression', 'Anxiety and nervousness', 'Depressive or psychotic symptoms', 'Decreased appetite', 'Abusing alcohol', 'Excessive appetite', 'Difficulty eating', 'Weight gain', 'Excessive anger', 'Insomnia', 'Vomiting blood', 'Acne or pimples']","['Psychotherapy', 'Mental health counseling', 'Depression screen (Depression screening)', 'Psychological and psychiatric evaluation and therapy', 'Occupational therapy assessment (Speech therapy)']","['Fluoxetine (Prozac)', 'Trazodone', 'Quetiapine (Seroquel)', 'Lamotrigine (Lamictal)', 'Topiramate (Topamax)', 'Venlafaxine (Effexor)', 'Aripiprazole (Abilify)', 'Minocycline', 'Benzoyl Peroxide Topical', 'Tranylcypromine (Parnate)', 'Phenelzine (Nardil)', 'Chlorpromazine (Thorazine)']"
20,Transient ischemic attack,"['Loss of sensation', 'Dizziness', 'Headache', 'Weakness', 'Focal weakness', 'Slurring words', 'Difficulty speaking', 'Symptoms of the face', 'Depressive or psychotic symptoms', 'Diminished vision', 'Disturbance of memory', 'Paresthesia']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Clopidogrel (Plavix)', 'Deferasirox (Exjade)', 'Bethanechol', 'Dipyridamole', 'Gadopentetate Dimeglumine (Magnevist)', 'Bivalirudin']"
21,Pyelonephritis,"['Side pain', 'Fever', 'Sharp abdominal pain', 'Back pain', 'Vomiting', 'Nausea', 'Painful urination', 'Low back pain', 'Lower abdominal pain', 'Blood in urine', 'Suprapubic pain', 'Frequent urination']","['Urinalysis', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Radiographic imaging procedure', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Ciprofloxacin', 'Levofloxacin (Levaquin)', 'Ceftriaxone', 'Phenazopyridine (Azo)', 'Cefotaxime', 'Cefixime (Suprax)', 'Doripenem', 'Dihydrocodeine (Didone)', 'Auranofin', 'Somatrem (Protropin)', 'Ganciclovir', 'Clotrimazole']"
22,Rotator cuff injury,"['Shoulder pain', 'Arm pain', 'Shoulder stiffness or tightness', 'Shoulder weakness', 'Arm cramps or spasms', 'Arm stiffness or tightness', 'Neck stiffness or tightness', 'Hand or finger stiffness or tightness', 'Shoulder swelling', 'Tongue lesions', 'Leg cramps or spasms', 'Abnormal appearing tongue']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Application of splint (Splinting)', 'Other therapeutic procedures on muscles and tendons', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Triamcinolone Topical Product', 'Bupivacaine', 'Rocuronium', 'Cortisone', 'Sevoflurane', 'Mepivacaine (Carbocaine)', 'Desflurane', 'Diclofenac Topical Product', 'Nitrous Oxide', 'Rapacuronium']"
23,Chronic pain disorder,"['Back pain', 'Low back pain', 'Ache all over', 'Leg pain', 'Neck pain', 'Headache', 'Sharp abdominal pain', 'Shoulder pain', 'Knee pain', 'Hip pain', 'Pelvic pain', 'Lower body pain']","['Magnetic resonance imaging (Mri)', 'Lipid panel', 'Physical therapy exercises (Exercises)', 'Insertion of catheter or spinal stimulator and injection into spinal canal', 'Other therapeutic procedures', 'Other non-OR therapeutic procedures on musculoskeletal system', 'Physical therapy exercises; manipulation; and other procedures']","['Oxycodone', 'Methadone', 'Carisoprodol (Soma)', 'Oxymorphone (Opana)', 'Diclofenac Topical Product', 'Milnacipran (Savella)', 'Cannabis (Schedule I Substance)', 'Cevimeline (Evoxac)', 'Sorbitol', 'Choline']"
24,Problem during pregnancy,"['Sharp abdominal pain', 'Pain during pregnancy', 'Problems during pregnancy', 'Lower abdominal pain', 'Spotting or bleeding during pregnancy', 'Nausea', 'Headache', 'Back pain', 'Vomiting', 'Burning abdominal pain', 'Pelvic pain', 'Cramps and spasms']","['Urinalysis', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Glucose measurement (Glucose level)', 'Standard pregnancy test', 'Pelvis exam']","['Multivitamin, Prenatal', 'Miconazole Topical Product', 'Rho(D) Immune Globulin (Rhogam)', 'Clomiphene (Clomid)', 'Methyldopa']"
25,Liver cancer,"['Sharp abdominal pain', 'Upper abdominal pain', 'Stomach bloating', 'Changes in stool appearance', 'Decreased appetite', 'Unusual color or odor to urine', 'Increased heart rate', 'Kidney mass', 'Swollen abdomen', 'Symptoms of prostate', 'Leg stiffness or tightness', 'Groin mass']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'X-ray computed tomography (Scan ct)', 'Ultrasonography (Ultrasound)', 'Biopsy']","['Spironolactone', 'Oxycodone', 'Tacrolimus (Prograf)', 'Lactulose', 'Sorafenib', 'Dexamethasone', 'Aprepitant (Emend)', 'Gemcitabine (Gemzar)', 'Valganciclovir (Valcyte)', 'Palonosetron (Aloxi)', 'Mycophenolate Mofetil (Cellcept)', 'Nystatin Topical Product']"
26,Atelectasis,"['Cough', 'Shortness of breath', 'Sharp chest pain', 'Fever', 'Nasal congestion', 'Dizziness', 'Sore throat', 'Sharp abdominal pain', 'Difficulty breathing', 'Rib pain', 'Ache all over', 'Headache']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Electrocardiogram', 'Intravenous fluid replacement']","['Guaifenesin (Mucinex)', 'Cilostazol', 'Tiotropium (Spiriva)', 'Factor Ix Complex (Obsolete)', 'Lactase', 'Iodine (I-Deal)', 'Pancreatin', 'Filgrastim (Neupogen)', 'Darbepoetin Alfa (Aranesp)', 'Olopatadine Ophthalmic', 'Cefuroxime']"
27,Injury to the hand,"['Hand or finger pain', 'Hand or finger swelling', 'Wrist pain', 'Hand or finger stiffness or tightness', 'Joint pain', 'Skin growth', 'Muscle stiffness or tightness', 'Pallor', 'Focal weakness', 'Symptoms of the face', 'Wrist swelling', 'Hand or finger lump or mass']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Suturing of wound', 'Physical therapy exercises (Exercises)', 'Occupational therapy assessment (Speech therapy)']","['Etodolac', 'Etanercept (Enbrel)', 'Propoxyphene', 'Capsaicin Topical', 'Dapsone']"
28,Choledocholithiasis,"['Sharp abdominal pain', 'Upper abdominal pain', 'Vomiting', 'Nausea', 'Sharp chest pain', 'Back pain', 'Diarrhea', 'Jaundice', 'Side pain', 'Chills', 'Unusual color or odor to urine', 'Decreased appetite']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Metronidazole', 'Midazolam (Versed)', 'Zosyn', 'Ampicillin', 'Mivacurium', 'Plasma Protein Fraction (Plasmanate)', 'Vitamin K 1 (Mephyton)', 'Desipramine', 'Cinacalcet (Sensipar)', 'Barium Sulfate', 'Sulfamethoxazole (Bactrim)']"
29,Injury to the hip,"['Hip pain', 'Leg pain', 'Neck pain', 'Groin pain', 'Lower body pain', 'Hand or finger swelling', 'Peripheral edema', 'Leg swelling', 'Problems with movement']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement', 'CAT scan of head (Head ct)', 'Application of splint (Splinting)']","['Hydrocodone', 'Metaxalone (Skelaxin)', 'Calcium Acetate', 'Hydroxychloroquine (Plaquenil)', 'Rosiglitazone (Avandia)', 'Glucosamine', 'Malathion Topical', 'Gadoteridol (Prohance)', ""Devil\\'S Claw Preparation""]"
30,Cirrhosis,"['Sharp abdominal pain', 'Shortness of breath', 'Peripheral edema', 'Fatigue', 'Upper abdominal pain', 'Abdominal distention', 'Stomach bloating', 'Blood in stool', 'Regurgitation', 'Symptoms of the kidneys', 'Vomiting blood', 'Melena']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Lipid panel', 'Liver function tests (Liver test)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Furosemide', 'Spironolactone', 'Lactulose', 'Tacrolimus (Prograf)', 'Nadolol', 'Mycophenolate Mofetil (Cellcept)', 'Propranolol', 'Thiamine', 'Methadone', 'Ursodiol (Urso)', 'Epoetin Alfa (Procrit)', 'Peginterferon Alfa-2B (Sylatron)']"
31,Thoracic aortic aneurysm,"['Sharp chest pain', 'Dizziness', 'Back pain', 'Shortness of breath', 'Sharp abdominal pain', 'Fatigue', 'Chest tightness', 'Unusual color or odor to urine', 'Flushing', 'Leg cramps or spasms', 'Coughing up sputum', 'Jaundice']","['Radiographic imaging procedure', 'Electrocardiogram', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)']","['Metoprolol', 'Nitroglycerin', 'Hydralazine', 'Labetalol', 'Esmolol', 'Pentoxifylline', 'Colchicine', 'Amiodarone', 'Nitroprusside', 'Estropipate (Ogen)', 'Dexamethasone Ophthalmic']"
32,Subdural hemorrhage,"['Headache', 'Dizziness', 'Problems with movement', 'Depressive or psychotic symptoms', 'Seizures', 'Vomiting', 'Facial pain', 'Disturbance of memory', 'Irritable infant', 'Abnormal movement of eyelid', 'Hostile behavior', 'Delusions or hallucinations']","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Plain x-ray (X ray)', 'CAT scan of head (Head ct)']","['Levetiracetam (Keppra)', 'Phenytoin (Dilantin)', 'Labetalol', 'Phenobarbital', 'Mannitol', 'Nicardipine', 'Vitamin K 1 (Mephyton)', 'Carbidopa', 'Rocuronium', 'Linezolid (Zyvox)', 'Dorzolamide Ophthalmic', 'Fosphenytoin']"
33,Congenital rubella,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","['Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)', 'Bone marrow transplant (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
34,Diabetic retinopathy,"['Diminished vision', 'Spots or clouds in vision', 'Pain in eye', 'Lacrimation', 'Symptoms of eye', 'Eye redness', 'Foreign body sensation in eye', 'Itchiness of eye', 'Blindness', 'Bleeding from eye', 'Abnormal movement of eyelid', 'Double vision']","['Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Ophthalmologic and otologic diagnosis and treatment', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Repair of retinal tear; detachment', 'Other extraocular muscle and orbit therapeutic procedures', 'Other intraocular therapeutic procedures']","['Insulin', 'Insulin Glargine (Lantus)', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Insulin, Aspart, Human (Novolog)', 'Brimonidine Ophthalmic', 'Prednisolone Ophthalmic', 'Bevacizumab (Avastin)', 'Rosiglitazone (Avandia)', 'Latanoprost', 'Gatifloxacin (Zymar)', 'Timolol']"
35,Fibromyalgia,"['Back pain', 'Ache all over', 'Neck pain', 'Muscle pain', 'Leg pain', 'Headache', 'Shoulder pain', 'Low back pain', 'Sharp chest pain', 'Arm pain', 'Hip pain', 'Fatigue']","['Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Other therapeutic procedures', 'Mammography (Mammogram)', 'Depression screen (Depression screening)', 'Other physical therapy and rehabilitation', 'Bone density scan']","['Pregabalin (Lyrica)', 'Tizanidine', 'Nortriptyline', 'Milnacipran (Savella)', 'Chlorzoxazone', 'Oxymorphone (Opana)', 'Rifaximin', 'Cevimeline (Evoxac)', 'Clemastine (Tavist)', 'Naratriptan (Amerge)', 'Ergotamine']"
36,Ischemia of the bowel,"['Sharp abdominal pain', 'Vomiting', 'Diarrhea', 'Nausea', 'Rectal bleeding', 'Blood in stool', 'Lower abdominal pain', 'Constipation', 'Melena', 'Burning abdominal pain', 'Chills', 'Retention of urine']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)', 'X-ray computed tomography (Scan ct)', 'Electrolytes panel']","['Metronidazole', 'Fentanyl', 'Zosyn', 'Heparin', 'Meperidine (Demerol)', 'Mesalamine (Asacol)', 'Sucralfate (Carafate)', 'Oxygen', 'Sodium Phosphate', 'Guar Gum', 'Cefoxitin', 'Droperidol']"
